,n,mean,std,cv,min,p1,p5,p25,median,p75,p95,p99,max,skew,kurtosis_excess
merch_value,98199,137.418922188617,209.30641846047158,1.523126619878331,0.85,11.98,19.0,45.9,86.9,149.9,399.8,995.0200000000041,13440.0,9.771523703301416,271.3948590014974
merch+freight,98199,160.24121457448652,219.1111660803925,1.3673833330721596,9.59,22.38,32.379999999999995,61.96,105.28,176.73000000000002,449.48099999999994,1054.6546000000048,13664.08,9.259774581826706,244.0862441256837
freight,98199,22.82229238586951,21.645764457841732,0.9484483018561173,0.0,7.39,7.88,13.86,17.19,24.05,54.9,104.8820000000004,1794.96,12.098484146134654,568.4387345101663
n_items,98199,1.1415696697522377,0.5375557223370698,0.47089173493347897,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,21.0,7.547219167581661,115.79046967703478
log(merch),98199,4.4428376443958415,0.9323470636426333,0.20985395782325922,-0.16251892949777494,2.4832385926873033,2.9444389791664403,3.8264651170664994,4.464758032271346,5.009968405108552,5.9909644220663,6.902762827567117,9.50599061407714,0.24242274756355792,0.3346270899174506
